player_id,name,normalized_name,team,role_classic,roles_mantra,quotation_classic,quotation_mantra,fvm_classic,fvm_mantra,starts,minutes,starter_signal,set_piece_signal,injury_signal,updated_at,appearances,average_rating,fantasy_average,goals,assists,penalties_scored,penalties_taken,previous_appearances,previous_average_rating,previous_fantasy_average,previous_goals,previous_assists
fc-2514,Stones,stones,INT,D,DC,12,12,25,25,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-152,Zielinski,zielinski,INT,C,C,12,12,45,45,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,8.0,1,0,0,0,31.0,6.35,6.89,6.0,2.0
fc-2606,Modric,modric,MIL,C,M|C,12,13,45,50,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.25,6.25,0,0,0,0,33.0,6.5,6.71,2.0,3.0
fc-2816,Di Lorenzo,di lorenzo,NAP,D,DD|E,12,12,39,39,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,5.75,0,0,0,0,26.0,6.02,6.27,2.0,1.0
fc-2038,Pinamonti,pinamonti,LAZ,A,PC,12,11,53,50,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,35.0,5.93,6.64,9.0,3.0
fc-6684,Ekkelenkamp,ekkelenkamp,UDI,C,C|T,12,12,57,57,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.75,8.75,1,1,0,0,31.0,6.0,6.56,5.0,3.0
fc-7547,Kevin Carlos,kevin carlos,CAG,A,PC,12,11,36,33,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,5.5,5.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-5172,Jones C.,jones c,INT,C,C,12,12,47,47,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,6.0,6.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-4179,Gonzalez N.,gonzalez n,JUV,C,W|A,12,11,45,45,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,7.5,10.5,1,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-1850,Kessiè,kessie,ATA,C,C,12,12,47,47,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-7625,Goncalves P.,goncalves p,FIO,C,W|T,12,12,50,50,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-7129,Rodriguez Je.,rodriguez je,COM,C,W|A,11,10,31,31,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,5.0,5.0,0,0,0,0,28.0,6.29,6.7,2.0,8.0
fc-2521,De Gea,de gea,FIO,P,POR,11,11,30,30,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.0,1.5,0,0,0,0,37.0,6.22,4.97,0.0,0.0
fc-5750,Ostigard,ostigard,GEN,D,DC,11,11,41,41,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,5.67,5.17,0,0,0,0,30.0,6.13,6.52,5.0,0.0
fc-5823,Baldanzi,baldanzi,GEN,C,T,11,10,28,25,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,5.83,5.83,0,0,0,0,17.0,6.0,6.24,1.0,2.0
fc-4923,Colombo,colombo,GEN,A,PC,11,10,52,49,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,5.67,6.0,0,1,0,0,37.0,5.91,6.39,7.0,1.0
fc-7436,Alajbegovic,alajbegovic,JUV,C,W|T,11,11,42,42,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,5.5,5.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-4892,Saelemaekers,saelemaekers,MIL,C,E|W,11,12,35,35,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,7.0,0,1,0,0,35.0,6.23,6.5,3.0,3.0
fc-572,Meret,meret,NAP,P,POR,11,11,48,48,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,5.0,0,0,0,0,11.0,6.18,5.14,0.0,1.0
fc-4807,Hermoso,hermoso,ROM,D,DC,11,11,26,26,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.25,0,0,0,0,27.0,6.17,6.41,3.0,2.0
fc-7484,Adams A.,adams a,VEN,A,PC,11,10,35,35,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.5,5.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-7078,Mastantuono,mastantuono,FIO,C,W|T,11,11,50,50,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.5,5.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-5982,Spence,spence,INT,D,E,11,10,37,35,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-6372,Moreira,moreira,MIL,C,E|W,11,11,45,45,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
fc-5526,Scalvini,scalvini,ATA,D,DC,10,10,28,28,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.0,0,0,0,0,24.0,6.04,6.42,3.0,1.0
fc-133,Skorupski,skorupski,BOL,P,POR,10,10,32,32,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.25,4.25,0,0,0,0,18.0,6.14,5.22,0.0,0.0
fc-184,Bernardeschi,bernardeschi,BOL,C,W|T,10,10,27,27,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.5,0,0,0,0,25.0,6.08,6.58,4.0,2.0
